State,pctBlack,pctAsian,pctHisp,pctUrban,pctWfarm,pctPubAsst,blackPerCap,NAperCap,asianPerCap,otherPerCap,pctEmployMfg,numForeignBorn,pctFgnImmig-3,houseVacant,pctVacantBoarded,pctHousWOphone,pctHousWOplumb,ownHousQrange,persEmergShelt,persHomeless,landArea,pctUsePubTrans,pctOfficDrugUnit,murdPerPop,rapesPerPop,assaultPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,pop,violentPerPop
KY,12.18,1.12,0.68,0.0,1.24,9.6,6016.0,6636.0,9119.0,1982.0,16.08,626.0,33.23,1528.0,1.51,10.67,0.23,44300,28.0,2.0,30.0,0.28,0.0,6.54,78.53,586.8,3895.99,322.85,19.63,40641,798.39
AR,26.130000000000003,0.49,0.43,100.0,0.63,13.58,5688.0,7669.0,12183.0,20230.25,17.94,407.0,26.04,2318.0,4.06,11.65,0.73,31800,28.0,0.0,43.9,0.93,0.0,21.525,100.51,904.55,3424.02,880.7,78.36,57140,1476.93
CT,2.65,1.04,2.28,96.51,0.71,3.78,8297.0,13171.0,12425.0,10337.0,26.12,2377.0,9.38,629.0,0.16,0.89,0.13,36700,8.0,1.0,34.6,1.28,0.0,2.19,0.0,37.29,1987.5,508.94,15.36,45532,89.94
CA,1.3,6.3425,20.96,100.0,0.62,11.27,17693.0,20931.0,16696.0,9438.0,14.43,8136.875,30.33,2746.625,2.25,1.53,0.46,122700,57.5,2.5,31.7,4.15,0.0,5.02,16.72,154.42,2509.23,806.68,40.7,180038,374.07
OH,2.28,2.67,0.74,100.0,0.89,1.59,12964.0,15565.0,22630.0,9548.0,10.06,704.0,11.79,164.0,0.61,0.18,0.21,58900,10.0,0.0,5.8,1.96,0.0,0.0,13.24,33.09,2739.73,119.12,26.47,14869,112.5
TX,8.41,3.92,8.91,100.0,0.81,2.71,11615.0,13416.0,11175.0,7804.0,18.91,8136.875,19.03,2746.625,1.81,5.5,0.14,46100,47.0,1.0,52.75,0.14,0.0,2.39,49.94,477.55,3938.78,838.8,33.18,261721,772.77
CA,18.97,6.3425,10.73,100.0,0.53,6.9,10242.0,6333.0,9734.0,7196.0,6.69,4849.0,12.27,353.0,0.57,1.62,0.24,45700,0.0,0.0,9.1,1.93,0.0,12.89,58.03,303.03,3526.76,322.37,32.24,26436,644.75
NH,0.41,1.55,0.91,0.0,0.51,3.37,12405.0,20559.0,7679.0,7826.0,14.87,376.0,23.14,545.0,1.28,3.83,0.79,59500,2.0,0.0,41.8,0.75,0.0,0.0,8.07,137.13,4694.68,217.79,32.27,12183,145.2
FL,13.79,1.42,2.4,100.0,0.3,2.74,13246.0,9320.0,11052.0,9621.0,18.44,742.0,10.38,437.0,1.14,2.03,0.08,30600,0.0,0.0,10.1,0.58,0.0,0.0,55.52,399.71,4002.66,349.75,11.1,16023,560.71
AR,0.06,0.77,1.86,0.0,1.36,3.92,0.0,13934.0,12182.0,9809.0,27.42,354.0,18.93,586.0,0.34,8.04,0.4,30700,0.0,0.0,23.0,0.0,0.0,0.0,29.18,142.64,3938.79,155.61,19.45,24692,204.23
TX,0.41,1.98,7.95,100.0,1.07,0.73,12941.0,16625.0,30357.75,10485.0,8.73,703.0,0.85,319.0,1.25,0.87,0.24,63100,0.0,0.0,3.7,1.11,0.0,6.69,13.38,167.29,2388.92,301.12,6.69,13842,347.97
CA,2.92,2.82,13.97,100.0,0.53,12.74,9215.0,9266.0,9291.0,7746.0,12.47,8136.875,20.75,1560.0,1.47,2.97,0.24,81500,13.0,2.5,14.9,2.17,0.0,8.59,45.1,579.87,4634.68,954.64,33.29,88693,894.51
WA,1.89,1.82,18.16,0.0,1.78,10.28,6562.0,18700.0,5910.0,6497.0,18.92,695.0,27.63,321.0,2.18,6.75,0.32,34800,0.0,0.0,9.4,0.09,0.0,14.57,110.94625,961.75,7103.83,400.73,58.29,11235,1143.9
AR,26.130000000000003,0.52,0.5,100.0,1.32,13.69,5095.0,5019.0,15413.0,10764.0,14.03,187.0,0.0,626.0,7.5600000000000005,12.35,1.08,30200,13.0,0.0,14.9,0.1,0.0,21.525,86.13,179.44,2860.32,854.15,0.0,28259,724.95
LA,26.130000000000003,0.4,0.78,0.0,0.8,17.75125,3617.0,6319.0,30357.75,20230.25,7.98,25.0,0.0,410.0,7.32,14.35,0.64,31900,0.0,0.0,4.8,0.78,0.0,0.0,17.4,1127.55875,2583.28,278.33,8.7,11162,1487.34
TX,0.12,0.38,21.1625,100.0,1.17,16.71,2922.0,5577.0,13361.0,5195.0,5.4,8136.875,14.07,1969.0,6.4,12.42,1.145,41300,4.0,0.0,34.1,3.55,0.0,13.75,4.58,564.37,4089.41,680.91,52.38,122899,689.42
ME,0.37,0.4,0.45,33.1,1.2,4.56,10291.0,9093.0,11443.0,18000.0,14.71,306.0,2.61,134.0,0.0,1.17,0.71,64900,0.0,0.0,52.5,0.88,0.0,0.0,0.0,16.72,568.56,66.89,0.0,11856,16.72
WY,1.17,0.96,7.46,0.0,1.11,5.74,9288.0,12726.0,11497.0,8657.0,7.72,327.0,0.0,929.0,7.53,3.51,0.81,34000,5.0,0.0,19.1,5.76,0.0,4.92,68.92,546.45,4342.05,374.14,0.0,19050,649.83
CA,0.24,1.11,17.04,0.0,1.88,13.22,17759.0,17930.0,8531.0,8032.0,19.74,976.0,14.24,185.0,1.08,3.3,0.11,62000,11.0,0.0,4.2,0.0,0.0,0.0,28.91,267.46,3628.74,368.66,93.97,11961,346.97
NC,26.130000000000003,0.19,0.54,0.0,0.69,13.17,6624.0,2500.0,30357.75,5120.0,32.28,181.0,11.6,429.0,4.9,12.61,1.145,40600,0.0,0.0,7.3,0.11,0.0,21.525,18.38,1127.55875,6893.8,625.04,61.28,15655,1770.94
CA,7.95,1.36,19.55,100.0,2.0700000000000003,5.92,4590.0,6108.0,12843.0,9406.0,21.21,1672.0,6.76,193.0,3.63,2.5,0.24,106300,0.0,0.0,14.2,0.27,0.0,4.04,16.15,472.5,2237.3,1033.84,60.58,23302,609.81
MS,26.130000000000003,0.43,0.56,0.0,0.58,17.75125,5359.0,2400.0,11710.0,6929.0,19.98,250.0,19.6,1170.0,7.5600000000000005,11.02,0.83,30900,6.0,0.0,27.0,0.24,0.0,21.525,76.4,298.88,5912.36,417.98,96.35750000000002,45226,559.55
CA,0.94,6.07,6.46,100.0,0.52,2.52,26301.125,20295.0,23416.0,17992.0,16.34,3283.0,6.37,294.0,0.68,0.56,0.0,122700,0.0,0.0,5.8,3.98,0.0,3.54,3.54,113.41,2076.84,191.38,0.0,26167,205.56
TX,4.8,1.14,21.1625,100.0,2.0700000000000003,6.25,6863.0,11822.0,7491.0,6391.0,12.63,4542.0,7.9,2746.625,1.64,7.89,0.47,37200,57.5,1.0,49.6,0.68,0.0,8.85,47.57,412.63,3687.11,192.49,31.923785522788204,84474,512.19
OH,5.26,0.29,0.33,100.0,0.47,12.39,4962.0,5873.0,18690.0,583.0,28.81,398.0,4.77,649.0,3.39,5.1,0.48,22700,0.0,0.0,7.9,1.91,0.0,0.0,25.08,630.69,3547.62,318.93,68.09,27623,734.61
VA,26.130000000000003,0.38,0.61,74.94,1.98,10.49,6978.0,13860.0,30357.75,7087.0,21.98,433.0,10.62,1495.0,7.5600000000000005,10.47,1.145,50700,0.0,2.5,52.75,1.63,0.0,16.22,66.7,547.99,3558.36,457.86,46.87,52141,919.33
VA,26.130000000000003,0.2,0.37,0.0,0.51,8.64,7929.0,27285.875,9822.0,15000.0,38.902499999999996,142.0,4.23,471.0,5.52,6.58,0.52,47400,17.0,2.5,11.4,0.0,0.0,12.52,43.81,488.2,6133.82,337.99,56.33,16162,682.23
NJ,0.63,0.83,2.58,100.0,0.39,3.6,9763.0,14924.0,17930.0,14351.0,12.53,3133.0,5.52,2746.625,0.72,0.67,0.16,61500,17.0,0.0,27.2,1.75,0.0,2.92,13.15,74.5,1773.32,143.15,20.45,66473,131.47
CA,0.7,1.74,6.86,100.0,1.49,2.75,26301.125,22538.0,30357.75,20230.25,10.39,2587.0,17.67,1759.0,0.57,0.39,0.44,122700,6.0,2.5,9.0,1.97,0.0,0.0,20.8,682.11,3635.15,578.13,12.48,23170,794.41
TX,1.85,0.19,21.1625,0.0,1.59,17.75125,5575.0,0.0,0.0,4040.0,16.67,644.0,0.0,554.0,7.5600000000000005,16.286250000000003,1.145,24500,0.0,0.0,9.6,1.23,0.0,7.38,7.38,383.99,2392.56,413.53,59.08,12849,420.91
AR,0.09,0.18,0.51,0.0,1.62,8.77,10101.0,10092.0,0.0,7652.0,33.52,49.0,0.0,472.0,4.66,10.95,0.51,29500,7.0,0.0,30.1,0.23,0.0,4.65,41.81,37.16,2331.96,162.59,4.65,18540,92.91
CA,1.7,5.46,5.4,100.0,0.56,3.47,26301.125,13326.0,30357.75,20230.25,8.37,8136.875,13.57,1159.0,1.38,0.4,0.2,0,0.0,2.5,5.9,4.31,0.0,3.0,24.03,216.25,5271.06,663.76,42.05,31971,1087.25
OH,16.34,1.53,1.0,100.0,0.61,2.47,16183.0,10271.0,14356.0,4675.0,10.93,1522.0,7.16,135.0,0.0,0.21,0.0,36000,0.0,0.0,1.9,5.81,0.0,0.0,13.97,125.71,1298.97,216.5,0.0,14790,237.45
OH,4.22,0.45,0.85,0.0,0.66,12.41,7185.0,10716.0,12381.0,7082.0,26.25,256.0,0.0,1064.0,3.38,12.2,0.81,24000,4.0,0.0,8.3,1.01,0.0,2.88,46.03,57.53,4409.86,296.29,8.63,34075,212.87
OH,19.7,1.05,3.97,100.0,0.36,12.29,7722.0,9450.0,12415.0,7272.0,19.58,8136.875,19.16,2746.625,7.5600000000000005,5.49,0.34,34700,57.5,2.5,52.75,3.0,0.0,13.89,110.19,368.86,4707.51,1294.1399999999999,96.35750000000002,332943,984.96
PA,26.130000000000003,2.74,5.63,100.0,0.35,13.98,9061.0,10146.0,8285.0,5083.0,13.58,8136.875,16.38,2746.625,7.5600000000000005,4.25,0.88,49200,57.5,2.5,52.75,7.93125,0.0,21.525,51.31,445.86,2561.1,1294.1399999999999,96.35750000000002,1585577,1279.6
MA,2.08,4.55,1.98,100.0,0.99,2.91,20516.0,7731.0,17833.0,6712.0,10.61,8136.875,16.03,1042.0,0.29,0.37,0.27,122700,57.5,0.0,18.7,7.93125,0.0,1.17,12.82,210.9,1709.31,288.96,0.0,82585,256.34
FL,3.52,1.03,1.7,100.0,0.48,4.52,8871.0,22920.0,23131.0,9044.0,8.61,1797.0,6.73,1487.0,0.81,1.73,0.08,57900,0.0,0.0,26.1,0.77,0.0,0.0,31.02,37.23,2940.9,241.97,0.0,29721,142.7
VA,26.130000000000003,0.76,0.72,100.0,0.63,7.54,7200.0,12833.0,6139.0,8400.0,19.31,1108.0,30.69,2090.0,4.31,7.07,0.29,42100,47.0,0.0,51.2,3.33,0.0,4.47,67.0,522.63,3448.48,273.97,74.45,66049,753.42
MS,17.14,0.92,0.48,100.0,1.0,3.8,6592.0,0.0,15987.0,10491.0,9.57,389.0,34.455000000000005,427.0,0.94,2.6,0.37,32100,0.0,0.0,24.7,0.24,0.0,8.76,0.0,52.58,1906.06,52.58,21.91,21847,122.69
SC,26.130000000000003,0.31,0.53,100.0,0.44,8.88,6284.0,6917.0,7901.0,7331.0,26.9,182.0,16.48,994.0,2.41,11.53,0.25,40600,12.0,2.5,12.8,0.88,0.0,21.525,50.34,1127.55875,4098.0,459.81,10.07,26184,1849.3
TX,5.83,2.63,8.77,100.0,0.85,4.08,11766.0,13014.0,12912.0,9852.0,14.53,4731.0,10.48,2746.625,5.24,3.79,0.16,34300,0.0,2.5,44.4,1.22,0.0,4.32,28.5,415.48,4475.25,657.34,80.33,101484,566.64
WI,0.11,0.34,0.34,100.0,0.63,8.75,21667.0,2542.0,479.0,12688.0,29.03,81.0,0.0,236.0,2.54,2.55,0.56,21900,0.0,0.0,10.2,0.19,0.0,0.0,14.83,29.66,2862.65,111.24,29.66,12727,51.91
OH,0.92,2.34,1.02,100.0,0.99,1.98,22636.0,4326.0,21070.0,11575.0,18.19,1154.0,15.08,455.0,0.22,0.35,0.07,45900,0.0,0.0,26.7,0.34,0.0,0.0,7.91,34.3,2717.32,184.67,68.59,33626,94.97
NH,0.28,0.59,0.59,0.0,0.93,4.67,1704.0,5270.0,12691.0,8897.0,19.92,594.0,7.41,450.0,0.44,4.6,0.33,51500,1.0,0.0,38.6,0.03,0.0,0.0,102.18,302.1,3709.63,106.62,62.2,22430,422.05
OH,2.55,0.28,0.36,73.6,1.76,5.23,12981.0,5114.0,30357.75,4091.0,24.72,130.0,3.85,132.0,2.27,2.3,1.145,43400,4.0,0.0,36.1,0.2,0.0,0.0,37.91,318.45,2446.48,90.98,32.86,13352,452.4
PA,9.69,0.51,0.75,100.0,0.0,8.65,7680.0,234.0,9378.0,0.0,12.37,244.0,0.0,358.0,5.87,1.91,1.145,25700,0.0,0.0,1.2,7.93125,0.0,18.94,47.34,170.42,1893.58,1145.62,85.21,10637,407.12
TN,15.78,1.04,0.67,100.0,0.54,9.69,6838.0,8519.0,8899.0,5971.0,12.82,3274.0,34.455000000000005,2746.625,7.04,6.38,0.28,33700,57.5,2.5,52.75,1.93,0.0,8.14,59.32,1127.55875,3504.88,935.68,96.35750000000002,165121,1693.42
NC,5.59,0.58,1.49,0.0,0.9,2.24,11547.0,4000.0,2331.0,0.0,26.71,172.0,20.93,314.0,1.27,6.37,0.65,50300,0.0,0.0,7.5,0.0,0.0,7.46,7.46,320.58,4518.0,313.13,7.46,10836,462.24
NJ,11.1,4.57,2.83,100.0,1.75,2.35,18729.0,27285.875,21945.0,13857.0,14.49,2311.0,9.91,198.0,2.53,0.41,0.28,116200,0.0,0.0,9.4,7.6,0.0,4.61,13.82,41.45,1271.19,409.91,9.21,21160,115.14
CT,1.41,1.4,2.1,100.0,0.33,2.87,19828.0,8154.0,15573.0,19962.0,15.61,3194.0,4.85,386.0,0.26,0.25,0.19,56100,0.0,0.0,13.7,1.46,0.0,0.0,13.68,54.72,2681.08,376.17,3.42,29208,78.65
MO,7.24,0.54,0.86,0.0,2.0700000000000003,6.53,5991.0,14440.0,6270.0,0.0,16.5,96.0,12.5,618.0,0.65,10.58,0.58,33000,0.0,0.0,10.5,0.55,0.0,7.88,63.04,874.7,3853.43,165.48,7.88,12839,985.03
UT,0.19,1.69,2.54,100.0,0.85,2.59,14276.0,15114.0,10192.0,13146.0,12.64,2193.0,10.21,687.0,1.31,0.86,0.26,40800,0.0,0.0,20.7,2.34,0.0,0.0,14.89,84.74,2810.0,125.96,5.73,75058,131.68
OK,9.78,0.45,2.48,0.0,1.51,10.04,6042.0,8782.0,30357.75,4075.0,16.2,191.0,14.66,1038.0,6.94,13.73,0.09,32700,17.0,0.0,14.2,0.0,0.0,21.525,72.14,937.77,3003.48,347.56,45.9,14988,1134.5
AZ,4.28,2.2,21.1625,99.98,0.59,6.58,9268.0,6689.0,7745.0,6272.0,9.49,8136.875,18.97,2746.625,2.07,6.88,0.38,33400,57.5,2.5,52.75,4.29,0.0,9.78,69.78,691.36,7128.3,1142.94,36.0,405390,969.6
NJ,7.36,2.67,3.69,64.02,0.57,3.11,17942.0,15871.0,16840.0,10114.0,5.53,970.0,6.08,932.0,0.86,1.68,0.42,56600,0.0,0.0,52.75,1.66,0.0,4.19,20.94,184.24,2332.3,192.61,29.31,23330,251.24
TX,5.57,0.15,21.1625,0.0,2.0700000000000003,8.36,4548.0,6947.0,20000.0,4989.0,16.21,298.0,2.68,721.0,4.85,13.7,0.64,28300,0.0,0.0,9.0,0.58,0.0,8.19,57.36,794.82,3695.51,245.82,40.97,11967,934.12
NH,4.6,1.72,2.0,100.0,0.27,4.68,9962.0,13228.0,8918.0,9553.0,14.9,1047.0,8.98,1040.0,2.5,2.85,0.36,58200,57.5,0.0,16.2,0.99,0.0,0.0,110.94625,162.67,3353.91,334.91,43.06,25925,377.97
MA,0.89,0.64,1.08,100.0,0.16,7.14,9295.0,26321.0,10134.0,930.0,11.39,564.0,3.72,1468.0,7.5600000000000005,1.11,1.145,66300,56.0,0.0,3.1,7.93125,0.0,0.0,53.92,835.73,907.62,161.75,26.96,10466,889.65
PA,0.59,1.37,0.55,100.0,0.83,2.46,13019.0,1750.0,30357.75,5100.0,10.36,526.0,6.27,323.0,0.31,0.62,0.14,32800,0.0,0.0,4.1,7.93125,0.0,5.74,5.74,17.23,1010.91,269.96,17.23,17118,40.21
TX,12.06,2.14,6.65,100.0,1.02,2.52,12576.0,18319.0,17993.0,12205.0,13.67,1211.0,5.95,849.0,0.59,1.87,0.18,52200,0.0,0.0,11.7,0.89,0.0,0.0,51.17,263.95,3199.74,705.67,43.09,35748,465.96
MO,9.4,0.46,0.42,0.0,2.0700000000000003,8.81,6661.0,8590.0,21754.0,0.0,21.38,98.0,17.35,431.0,1.86,7.3,0.28,30000,0.0,0.0,10.3,0.63,0.0,8.83,8.83,105.91,1588.7,88.26,0.0,11290,150.04
NJ,0.54,4.9,2.7,100.0,0.96,2.04,26301.125,7250.0,26588.0,12518.0,12.85,1431.0,11.04,84.0,1.19,0.52,0.58,89500,0.0,0.0,3.8,7.93125,0.0,0.0,0.0,24.78,768.21,148.69,16.52,11439,49.56
MA,2.7,0.7,1.71,83.39,0.81,5.68,13168.0,15024.0,7154.0,10329.0,9.39,2264.0,16.17,2746.625,0.96,1.71,0.3,92600,57.5,2.5,52.75,1.18,0.0,4.67,51.39,1127.55875,1555.67,298.99,0.0,40949,1812.62
NJ,3.01,6.3425,5.78,100.0,0.47,2.85,13332.0,0.0,14364.0,14682.0,15.59,2857.0,16.94,536.0,2.99,1.09,0.14,60300,5.0,0.0,2.9,7.93125,0.0,0.0,11.23,89.83,1381.09,421.06,11.23,17790,129.13
OR,7.67,5.3,3.17,100.0,0.75,6.9,8075.0,8653.0,9400.0,8390.0,15.11,8136.875,22.36,2746.625,5.5,4.47,0.64,38800,57.5,2.5,52.75,7.93125,0.0,12.65,104.44,1127.55875,5890.68,1294.1399999999999,96.35750000000002,437319,1841.38
VA,10.33,3.1,5.73,100.0,0.47,3.24,13169.0,27285.875,14049.0,11564.0,6.84,2129.0,12.54,751.0,1.46,4.11,0.51,68800,7.0,0.0,10.4,1.0,0.0,0.0,31.06,99.4,3314.39,267.14,18.64,27957,301.31
CA,1.45,6.3425,10.07,100.0,0.67,4.3,23117.0,21263.0,19955.0,13172.0,25.49,8136.875,22.23,2312.0,1.56,1.2,0.27,122700,0.0,2.5,21.3,1.53,0.0,8.64,21.6,280.75,2948.59,1226.66,38.87,133107,620.53
UT,0.06,0.86,2.06,100.0,2.0700000000000003,3.16,0.0,13712.0,10702.0,2725.0,14.63,146.0,0.0,56.0,7.14,0.6,0.42,40500,0.0,0.0,20.9,1.27,0.0,0.0,11.57,161.92,2307.43,266.02,0.0,12220,190.84
CA,3.64,6.32,21.1625,100.0,0.5,5.3,12013.0,10809.0,19598.0,9281.0,16.31,8136.875,18.78,1354.0,0.59,1.85,0.58,122700,57.5,2.5,19.7,3.85,0.0,4.4,22.02,544.58,2753.72,664.94,2.94,66072,726.59
PA,3.03,1.36,3.4,97.79,0.32,4.14,11353.0,0.0,6595.0,9899.0,22.62,696.0,15.52,199.0,0.5,0.41,0.09,69600,0.0,0.0,6.3,1.68,0.0,0.0,0.0,22.37,2288.99,283.33,22.37,13187,74.56
FL,1.06,1.04,1.79,0.0,0.41,3.65,4231.0,13612.0,17931.0,15112.0,8.22,559.0,2.5,467.0,0.21,3.16,0.2,30800,0.0,0.0,13.0,0.0,0.0,0.0,17.0,314.47,2354.24,101.99,0.0,10205,339.96
ND,0.8,1.07,1.19,100.0,2.0700000000000003,4.64,10578.0,6096.0,9944.0,5528.0,6.38,1112.0,33.63,1058.0,0.85,2.77,0.45,31000,57.5,0.0,15.0,0.95,0.0,0.0,37.7,55.55,4368.79,386.88,27.78,49425,121.02
CT,26.130000000000003,2.41,13.22,100.0,0.47,14.61,9616.0,7750.0,11739.0,7014.0,16.41,8136.875,23.59,2746.625,7.5600000000000005,7.53,0.49,78800,57.5,2.5,19.5,7.93125,0.0,18.39,108.69,964.85,6453.8,1294.1399999999999,96.35750000000002,130474,2127.02
LA,15.59,0.71,2.79,100.0,0.87,11.22,4834.0,6901.0,6501.0,6046.0,17.54,224.0,8.48,474.0,7.5600000000000005,7.66,1.0,27000,0.0,0.0,3.3,1.19,0.0,0.0,36.38,463.81,4001.46,1294.1399999999999,18.19,11218,809.39
IN,0.44,3.61,2.65,100.0,0.55,1.14,19388.0,0.0,30357.75,18766.0,19.83,1262.0,4.28,167.0,0.0,0.1,0.0,56800,0.0,0.0,7.8,4.44,0.0,14.58,9.72,145.76,2419.59,281.8,4.86,19949,199.2
SC,26.130000000000003,0.56,0.69,0.0,0.23,12.4,5243.0,0.0,10859.0,0.0,29.92,61.0,18.03,295.0,3.73,16.286250000000003,0.76,37300,0.0,0.0,6.5,0.0,0.0,0.0,47.14,1127.55875,4383.9,150.84,9.43,10542,1527.29
CA,3.83,4.42,18.96,100.0,0.7,7.29,11465.0,13749.0,13588.0,8053.0,9.58,6289.0,17.3,1204.0,1.16,2.5,0.09,86200,57.5,2.5,25.2,0.37,0.0,7.71,32.38,456.44,2498.07,949.88,24.67,60394,727.83
AZ,4.62,1.26,21.1625,0.0,0.67,16.57,4500.0,3863.0,7935.0,5541.0,15.68,1699.0,18.89,662.0,4.53,14.52,0.43,69700,0.0,2.5,22.9,0.71,0.0,4.68,42.11,626.93,3714.79,664.36,74.86,16169,781.32
CO,0.98,2.17,14.87,0.0,0.88,3.85,14139.0,11262.0,15085.0,10704.0,24.71,767.0,14.21,383.0,0.52,2.58,0.0,26000,9.0,0.0,7.1,2.24,0.0,0.0,0.0,333.24,3061.28,158.15,39.54,14548,367.13
WI,0.79,2.18,0.83,100.0,0.38,6.39,6964.0,8532.0,8554.0,6770.0,26.92,1563.0,16.7,870.0,0.57,2.57,0.37,29000,13.0,0.0,18.6,1.89,0.0,8.82,33.52,100.56,4631.1,197.59,17.64,55006,155.25
WA,6.36,6.3425,3.67,100.0,0.32,6.21,12820.0,9296.0,13147.0,6981.0,24.5,834.0,21.94,333.0,0.3,2.68,0.0,48800,2.0,1.0,8.5,7.93125,0.0,21.525,110.94625,742.88,7895.694999999999,1294.1399999999999,96.35750000000002,11874,1634.34
CA,11.49,6.04,10.46,100.0,0.9,4.19,5883.0,9684.0,16258.0,8011.0,14.86,1928.0,7.94,190.0,0.0,0.6,0.09,96700,0.0,0.0,8.9,2.12,0.0,0.0,3.81,186.52,1865.17,232.2,7.61,23229,251.23
CA,1.08,6.22,15.45,100.0,0.36,3.54,18108.0,17265.0,18521.0,15469.0,21.6,4092.0,14.78,424.0,3.3,1.28,0.21,122700,5.0,0.0,10.3,0.75,0.0,8.61,14.35,198.01,4364.92,637.09,45.92,32873,367.33
SC,15.59,0.99,0.67,100.0,0.94,3.89,7471.0,10246.0,24341.0,16367.0,19.93,232.0,13.79,536.0,2.61,2.98,0.12,39400,0.0,0.0,17.0,0.16,0.0,0.0,16.99,441.65,2831.1,419.0,5.66,15351,560.56
FL,26.130000000000003,1.75,3.0,100.0,0.67,4.59,7676.0,11546.0,10151.0,8050.0,3.6,5615.0,24.42,2746.625,2.24,3.43,0.27,46900,57.5,2.5,52.75,2.82,0.0,6.63,100.91,1127.55875,7882.35,1294.1399999999999,22.1,124773,1981.45
NJ,8.51,6.3425,5.13,0.0,0.22,2.6,10497.0,10973.0,7315.0,5790.0,6.79,2061.0,29.55,249.0,4.82,0.46,0.0,122700,0.0,0.0,1.9,5.17,0.0,0.0,0.0,50.33,4085.23,134.22,8.39,12016,83.89
WI,1.2,3.5,0.82,0.0,0.99,6.35,3661.0,5860.0,2605.0,11646.0,16.0,446.0,31.61,216.0,0.46,1.36,0.15,28500,6.0,0.0,11.7,0.22,0.0,0.0,13.29,13.29,5229.58,232.57,19.93,13547,39.87
GA,2.55,1.36,1.85,98.55,1.35,1.94,14018.0,14594.0,19440.0,10159.0,11.98,634.0,24.45,622.0,0.48,0.19,0.25,81600,0.0,0.0,19.7,1.14,0.0,0.0,0.0,60.9,1592.73,206.12,0.0,13002,60.9
NJ,0.76,0.81,2.23,44.04,0.38,2.86,14616.0,27285.875,14199.0,20230.25,14.69,805.0,0.99,785.0,2.55,1.17,1.01,64300,0.0,0.0,42.2,2.22,0.0,0.0,0.0,64.99,812.35,86.65,10.83,17825,70.4
WI,0.51,2.79,0.85,0.0,0.69,7.35,4210.0,3945.0,2458.0,6636.0,12.49,792.0,34.455000000000005,382.0,0.79,2.55,0.07,24700,21.0,0.0,13.9,0.56,0.0,4.66,41.98,195.9,5513.06,144.59,46.64,23006,242.54
